year,grantee,amount,six_month_report,year_end_report
2013,Juvenile Justice Project of Louisiana,10500,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/JJPLReport-6mo.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/JJPLReport-YearEnd.pdf
2013,National Housing Project,10500,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NHLPReport-6mo.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NHLPReport-YearEnd.pdf
2013,National Immigrant Justice Center,10500,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NIJCReport-6mo.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NIJCReport-YearEnd.pdf
2013,New Mexico Center on Law and Poverty,10500,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NMCLPReport-6mo.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NMCLPReport-YearEnd.pdf
2013,"North Florida Center for Equal Justice, Inc.",10500,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NFCEJReport-6mo.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/NFCEJReport-YearEnd.PDF
2012,Immigrant Law Center of Minnesota,5000,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/ILCM.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/ILC_YE2011.pdf
2012,Legal Aid Justice Center,10000,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/LegalAidJusticeCenter.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/LegalAid_YE2011.pdf
2012,National Center for Law and Economic Justice,10000,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/GeraldHartmanLetterreHawaiiUpdate.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/NCLEJ_YE2011.pdf
2012,The National Immigrant Justice Center,10000,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/NIJC.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/NIJC__YE2011.PDF
2012,The National Law Center,10000,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/NLCHPGrantProgressReport.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/NLC_YE2011.pdf
2012,The Public Justice Center,5000,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFS_2012/PJCReport2012April9.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs_2013/PJC-Final-Report-2013.pdf
2011,Brennan Center for Justice,5000.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/Brennan6MonthReport.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/images/PDFs/Brennan2nd.pdf
2011,National Center for Law and Economic Justice,2500.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/NCLEJ6Month.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/NCLEJ6Month.pdf
2011,George Washington University,5000.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/DVLeap6Month.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/DVLEAP2nd.pdf
2011,National Immigrant Justice Center,5000.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/NIJC6Month.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/NIJC2nd.pdf
2011,Mississippi Center for Justice,2500.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/MississippiCenter6Month.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/MississippiCenter2nd.pdf
2011,American Civil Liberties Union,2500.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/ACLU6Month.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/ACLU2nd.pdf
2011,Tahirih Justice Center,2500.00,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/TahirihJusticeCenter6Month.pdf,http://www.mcdowellfoundation.org/Websites/mcdowellfoundation/Images/PDFs/Tahirih2nd.pdf
